,Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC Value / M,SMILES_y
0,1,288.3,SODIUM DODECYL 1 SULFATE,,25.0,0.0063475546305931324,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
1,2,232.2,SODIUM OCTYL 1 SULFATE,,25.0,0.07,CCCCC(CC)COS(=O)(=O)[O-].[Na+]
2,3,260.3,SODIUM DECYL 1 SULFATE,,25.0,0.031,CCCCCCCCCCOS(=O)(=O)[O-].[Na+]
3,4,316.4,SODIUM TETRADECYL 1 SULFATE,,25.0,0.0014,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
4,5,344.4,SODIUM HEXADECYL 1 SULFATE,,25.0,0.00021,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
5,15,260.3,SODIUM DECYL 2 SULFATE,,25.0,0.0456,CCCCCCCCCCOS(=O)(=O)[O-].[Na+]
6,16,316.4,SODIUM TETRADECYL 2 SULFATE,,25.0,0.00327,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
7,17,316.4,SODIUM TETRADECYL 4 SULFATE,,25.0,0.00512,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
8,19,320.4,DECYL BETA D GLUCOSIDE,,25.0,0.0022,CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
9,20,348.5,DODECYL BETA D GLUCOSIDE,,25.0,0.00019,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
10,21,229.4,DIMETHYL DODECYL AMINE OXIDE,,25.0,0.002,CCCCCCCCCCCC[N+](C)(C)[O-]
11,37,193.7,DECYLAMMONIUM CHLORIDE,,25.0,0.04,CCCCCCCCCCN.Cl
12,38,221.8,DODECYL AMMONIUM CHLORIDE,,25.0,0.0143,CCCCCCCCCCCCN.Cl
13,39,249.9,TETRADECYL AMMONIUM CHLORIDE,,25.0,0.0028,CCCCCCCCCCCCN(C)C.Cl
14,40,288.4,POTASSIUM DODECYL 1 SULFONATE,,25.0,0.009,CCCCCCCCCCCCS(=O)(=O)[O-].[K+]
15,41,263.9,DODECYL TRIMETHYL AMMONIUM CHLORIDE,,25.0,0.0172,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
16,42,292.0,TETRADECYL TRIMETHYL AMMONIUM CHLORIDE,,25.0,0.003,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
17,43,88.1,BUTYRIC ACID,,25.0,139.61407491486946,CC(C)C(=O)O
18,44,182.3,POTASSIUM OCTANOATE,,25.0,0.47,CCCCCCCC(=O)[O-].[K+]
19,49,292.3,SODIUM P OCTYL BENZENE SULFONATE,,25.0,3.4200885525630635e-06,CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
20,52,388.5,SODIUM HEXADECYL MONO OXYETHYLENE SULFATE,,25.0,0.00022,CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+]
21,53,432.6,SODIUM HEXADECYL DI OXYETHYLENE SULFATE,,25.0,0.00014,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
22,54,476.6,SODIUM HEXADECYL TRI OXYETHYLENE SULFATE,,25.0,0.0001,CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
23,55,520.7,SODIUM HEXADECYL TETRA OXYETHYLENE SULFATE,,25.0,8e-05,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
24,56,416.6,SODIUM OCTADECYL MONO OXYETHYLENE SULFATE,,25.0,0.00011,CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
25,57,460.6,SODIUM OCTADECYL DI OXYETHYLENE SULFATE,,25.0,7e-05,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
26,58,504.7,SODIUM OCTADECYL TRI OXYETHYLENE SULFATE,,25.0,5e-05,CCCCCCCCCC(CCCCCCCC)OCCOCCOCCOS(=O)(=O)[O-].[Na+]
27,59,548.7,SODIUM OCTADECYL TETRA OXYETHYLENE SULFATE,,25.0,4e-05,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
28,61,370.5,SODIUM OLEYL/CIS 9 OCTADECENOYL/ SULFATE,,25.0,0.0003,CCCCCCCCC=CCCCCCCCCOS(=O)(=O)[O-].[Na+]
29,63,441.4,SODIUM 9 10 DICHLORO OCTADECYL SULFATE,,25.0,0.00031,CCCCCCCCC(C(CCCCCCCCOS(=O)(=O)[O-])Cl)Cl.[Na+]
30,90,210.3,POTASSIUM DECANOATE,,25.0,0.099,CCCCCCCCCC(=O)[O-].[K+]
31,91,238.4,POTASSIUM DODECANOATE,,25.0,3.775167785234899,CCCCCCCCCCCC(=O)[O-].[K+]
32,92,266.5,POTASSIUM TETRADECANOATE,,25.0,0.0063,CCCCCCCCCCCCCC(=O)[O-].[K+]
33,93,252.2,OCTYL TRIMETHYL AMMONIUM BROMIDE,,25.0,0.14,CCCCCCCC[N+](C)(C)C.[Br-]
34,97,308.4,DODECYL TRIMETHYL AMMONIUM BROMIDE,,25.0,0.014526588845654996,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
35,99,364.5,HEXADECYL TRIMETHYLAMMONIUM BROMIDE,,25.0,0.0008,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
36,102,356.4,TETRADECYL PYRIDINIUM BROMIDE,,25.0,0.0029,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-]
37,103,234.3,HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.1,CCCOCC(C)OCC(C)OCC(C)O
38,104,262.4,OCTYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0075,CCCCOCCOCCOCCOCCCC
39,105,394.6,OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0099,CCCCCCCCOCCOCCOCCOCCOCCOCCO
40,106,526.7,OCTYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.013,CCCCCCCCC(=O)O.CCCCCCC(=O)O.CCCCC(=O)O.C(C(CO)(CO)CO)O
41,107,290.4,DECYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0006,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
42,108,422.6,DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0009,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO
43,109,554.8,DECYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.0013,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
45,111,272.3,LITHIUM DODECYL 1 SULFATE,,25.0,0.0079,[Li+].CCCCCCCCCCCCOS(=O)(=O)[O-]
46,138,306.3,SODIUM NONYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.0157,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO
48,140,320.4,SODIUM DECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.0041,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
49,141,362.4,SODIUM TRIDECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.0013,CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
50,142,390.5,SODIUM PENTADECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,,25.0,0.00044,CCCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
51,143,378.6,"DECYL /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.001664025356576862,CCCCCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+]
52,144,598.9,"DECYL /OXYETHYLENE/ 10.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.0026715645349807983,CCCCCCCCCCOCCOCCOCCOCCOCCO
53,153,440.6,"NONYL BENZENE /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,5.6740807989105766e-05,CCCCCCCCCCCC(=O)O.CCCCC(CC)C(=O)O.C(C(CO)(CO)COCC(CO)(CO)CO)O
54,156,1101.5,"NONYL BENZENE /OXYETHYLENE/ 20.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,9.078529278256923e-05,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)C
55,158,482.7,"DODECYL BENZENE /OXYETHYLENE/ 5.0 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,1.5537600994406463e-05,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
56,168,881.2,"NONYL BENZENE /OXYETHYLENE/ 15 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",,25.0,0.00012,CCCCCCCCCCCCCCCCCCOC(=O)C=C1CC(OC1)(CO)COC(=O)C
57,171,348.4,SODIUM 2-N-DODECYL BENZENE SULFONATE,,25.0,0.00119,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
58,179,272.3,SODIUM DODECANE 1-SULFONATE,,25.0,0.0098,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
59,181,216.2,SODIUM OCTYL 1-SULFONATE,,25.0,0.14,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+]
60,182,244.3,SODIUM DECYL 1-SULFONATE,,25.0,0.038,CCCCCCCCS(=O)(=O)[O-].[Na+]
61,188,154.2,POTASSIUM HEXANOATE,,25.0,1.55,CCCCCCCCCCS(=O)(=O)[O-].[Na+]
62,189,308.4,ALPHA SULFOMYRISTIC ACID,,25.0,0.004215304798962387,CCCCCC(=O)[O-].[K+]
63,200,250.3,DODECYL SULFONIC ACID,,25.0,0.0085,CCCCCCCCSC1C(C(C(C(O1)CO)O)O)O
64,203,235.8,DECYL TRIMETHYL AMMONIUM CHLORIDE,,25.0,0.065,CCCCCCCCCCCCS(=O)(=O)O
65,211,426.6,"P-T-OCTYL BENZENE /OXYETHYLENE/5 ALCOHOL HOMOGENEOUS, HEAD GROUP",,25.0,0.000154,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O
66,212,470.7,P-T-OCTYL BENZENE /OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.000205,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCO
67,214,558.8,P-T-OCTYL BENZENE /OXYETHYLENE/8 ALCOHOL HOMOGENEOUS!HEA GROUP,,25.0,0.00028,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC
68,215,602.8,P-T-OCTYL BENZENE /OXYETHYLENE/9 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.000335,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO
69,216,646.9,P-T-OCTYL BENZENE /OXYETHYLENE/10 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.000323,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO
70,217,250.4,P-T-OCTYL BENZENE /OXYETHYLENE/1 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,4.85e-05,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
71,218,294.4,P-T-OCTYL BENZENE /OXYETHYLENE/2 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,6.8e-05,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO
72,219,338.5,P-T-OCTYL BENZENE /OXYETHYLENE/3 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.000114,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO
73,220,382.5,P-T-OCTYL BENZENE /OXYETHYLENE/4 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.000105,CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O
74,221,426.6,P-T-OCTYL BENZENE /OXYETHYLENE/5 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.000117,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O
75,222,470.7,P-T-OCTYL BENZENE /OXYETHYLENE/6 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.00018,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCO
76,223,514.7,P-T-OCTYL BENZENE /OXYETHYLENE/7 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.000184,CCCCCCC(C(CCC(C1CCC(O1)CCCCC(CC2=CC(OC2=O)C)O)O)O)O
77,224,558.8,P-T-OCTYL BENZENE /OXYETHYLENE/8 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.000247,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC
78,225,602.8,P-T-OCTYL BENZENE /OXYETHYLENE/9 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.00029,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO
79,226,646.9,P-T-OCTYL BENZENE /OXYETHYLENE/10 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.00032,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO
80,227,911.3,P-T-OCTYL BENZENE /OXYETHYLENE/16 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,,25.0,0.00043,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
81,243,278.4,TETRADECANE 1-SULFONIC ACID,,25.0,3.586998510016004e-06,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
82,251,173.3,OCTYL DIMETHYL AMINE OXIDE,,25.0,0.016,CCCCCCCC(CCCCCC)S(=O)(=O)O
83,252,201.3,DECYL DIMETHYL AMINE OXIDE,,25.0,0.019,CCCCN(CCCC)CCO
84,254,187.3,NONYL DIMETHYL AMINE OXIDE,,25.0,0.054,CCCCCCCCCC[N+](C)(C)[O-]
85,257,332.3,SODIUM DI-N-BUTYL SULFOSUCCINATE,,25.0,0.2,CCCCC(CC)COCCCN
86,259,388.4,SODIUM DI-N-HEXYL SULFOSUCCINATE,,25.0,2.5746652935118437,CC(C)COC(=O)CC(C(=O)OCC(C)C)S(=O)(=O)[O-].[Na+]
87,260,444.5,SODIUM DI-N-OCTYL SULFOSUCCINATE,,25.0,0.00068,CC(C)CCCCCCCCCC(=O)OCCOCCS(=O)(=O)[O-].[Na+]
88,261,332.3,SODIUM DI-ISOBUTYL SULFOSUCCINATE,,25.0,0.2,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
89,262,444.5,SODIUM DI-2-ETHYL-HEXYL SULFOSUCCINATE,,25.0,0.0025,CCCCCCCCCCOC(=O)C(C)OS(=O)(=O)[O-].[Na+]
90,263,304.4,SODIUM OLEATE /CIS-9-OCTADECENOATE/,,25.0,0.00072,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
91,270,348.1,OCTADECYL TRIMETHYLAMMONIUM CHLORIDE,,25.0,0.00034,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+]
92,273,222.3,SODIUM DODECANOATE,,25.0,0.026,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
93,274,340.0,HEXADECYL PYRIDINIUM CHLORIDE,,25.0,0.0009,CCCCCCCCCCCC(=O)[O-].[Na+]
94,275,396.1,HEXADECYL DIMETHYLBENZYLAMMONIUM CHLORIDE,,25.0,2.4931438544003988e-06,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
95,278,283.9,DODECYL PYRIDINIUM CHLORIDE,,25.0,0.015,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
96,279,340.0,DODECYL BENZYL DIMETHYLAMMONIUM CHLORIDE,,25.0,0.0023,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
97,280,465.8,DECYL TRIMETHYL AMMONIUM DODECYL SULFATE,,25.0,0.00019,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
98,281,493.8,DODECYL TRIMETHYLAMMONIUM DODECYL SULFATE,,25.0,3e-05,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.OS(=O)(=O)[O-]
99,282,506.8,HEXADECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,1e-06,CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-]
100,287,365.6,OCTYL TRIMETHYLAMMONIUM OCTANE SULFONATE,,25.0,0.021,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO
101,288,421.7,DECYL TRIMETHYLAMMONIUM DECANESULFONATE,,25.0,0.00136,CCCCCCCCCCCCCC[NH+](C)C.CCCS(=O)(=O)[O-]
102,289,478.7,TETRADECYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,1.0444955086693127e-05,CCCCCCCCCCCCCCCCCC[NH+](C)C.CCCS(=O)(=O)[O-]
103,290,328.3,DODECYL PYRIDINIUM BROMIDE,,25.0,3.0451808677162746e-06,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO
104,294,366.5,HEXYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,,25.0,0.118,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-]
105,295,246.2,SODIUM NONYL 1-SULFATE,,25.0,0.054833468724614136,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
